Population	Sample_no	Sample_id	Prediction	Lat	Lon
Abkhazians	1	GRC12076288	Abkhazians_0	45.22652633787088	42.85794161
Abkhazians	2	GRC12076300	Abkhazians_0	45.10563533	44.01103167
Abkhazians	3	GRC12076312	Ingush_3	39.16138406	44.22196215282935
Abkhazians	4	GRC12076324	Abkhazians_0	43.672657070964206	45.24173405595454
Altaians	1	GRC12076232	Altaians_4	35.93744516	81.60982188864324
Altaians	2	GRC12076245	Tatars_2	59.58339656094614	49.77556978213896
Altaians	3	GRC12076244	Altaians_3	51.874180757745386	85.92017467882442
Altaians	4	GRC12076256	Altaians_3	50.679658485955045	86.19395233427139
Altaians	5	GRC12076268	Altaians_3	50.79924186407588	86.16604292842355
Altaians	6	GRC12076280	Altaians_3	50.66713536943782	86.19685984822905
Altaians	7	GRC12076292	Altaians_3	51.21912592966141	86.05901873179829
Altaians	8	GRC12076304	Altaians_3	53.34868061	85.0494272140539
Altaians	9	GRC12076233	Altaians_4	50.6203180146456	86.19514072777727
Altaians	10	GRC12076257	Altaians_4	50.61027505766331	86.20985464989347
Altaians	11	GRC12076269	Altaians_4	50.62110481107158	86.20580231371727
Altaians	12	GRC12076281	Altaians_4	50.61038771655163	86.20976922316665
Altaians	13	GRC12076293	Altaians_4	50.617013095969696	86.20697215373607
Altaians	14	GRC12076305	Altaians_4	50.61179335660249	86.20898400774223
Altaians	15	GRC12076317	Altaians_4	50.61463106897831	86.20814814433629
Ambilobe_Madagascar	1	GRC12084554	Manakara_Madagascar_2	-22.443711573089058	48.01424188162409
Ambilobe_Madagascar	2	GRC12084555	Andilambe_Madagascar_0	-15.837884475171336	47.90702740836125
Ambilobe_Madagascar	3	GRC12084556	Ambilobe_Madagascar_3	-13.140273070731379	49.25165466195708
Ambilobe_Madagascar	4	GRC12084558	Ambilobe_Madagascar_3	-13.138310797997516	49.258094451309226
Andilambe_Madagascar	1	GRC12084551	Andilambe_Madagascar_0	-21.69720502	53.92720502
Andilambe_Madagascar	2	GRC12084552	Andilambe_Madagascar_0	-16.91153238577247	47.94039367169989
Andilambe_Madagascar	3	GRC12084553	Ambilobe_Madagascar_3	-13.237524998783265	48.97019719513826
Antananarivo_Madagascar	1	GRC12084544	Antananarivo_Madagascar_0	-18.71847641602354	47.990811836288955
Antananarivo_Madagascar	2	GRC12084545	Antananarivo_Madagascar_0	-18.90803267485994	47.56426583662946
Antananarivo_Madagascar	3	GRC12084546	Ambilobe_Madagascar_3	-13.285191864619078	48.89909666725381
Bermudian	1	GRC12084574	German_3	51.39372638	13.32300274957851
Bermudian	2	GRC12084587	Bermudian_1	38.49537203	-64.08634481241262
Bermudian	3	GRC12084576	Bermudian_2	32.9221989532648	-66.39312699481798
Bermudian	4	GRC12084577	Bermudian_2	32.33891443434722	-65.0173173665905
Bermudian	5	GRC12084578	Bermudian_2	32.42367205857459	-67.19005184851696
Bermudian	6	GRC12084588	Bermudian_2	32.45130636420908	-65.09204488541461
Bermudian	7	GRC12087852	Bermudian_2	32.339763049886336	-64.91156279635405
Bermudian	8	GRC12087856	Bermudian_2	32.321203167551836	-67.8148716097185
Bermudian	9	GRC12084575	Bermudian_3	34.06827212123724	-67.19604565908067
Bermudian	10	GRC12084585	Bermudian_3	32.30537125352858	-64.7903675178608
Bermudian	11	GRC12087853	Bermudian_3	32.43628587282612	-64.9383343509151
Bermudian	12	GRC12087854	Bermudian_3	32.709294590944396	-65.34186410817229
